tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
15,E2_2,63.53,14.72,0,0,#NAME?,2.1,0,tripinfo_n1.0 fcd_n1.0,15,n1.0,0,198.73,1.06,0,0.98,Car,,0,0
15,E9_2,52.3,15.04,0,0,#NAME?,2.1,0,tripinfo_s1.0 fcd_s1.0,15,s1.0,0,198.26,1.08,0,1.01,Car,,0,0
20,E9_2,52.3,14.54,5,0,#NAME?,2.1,0,tripinfo_s1.1 fcd_s1.1,15,s1.1,0,198.26,1.05,0,0.97,Car,,0,0
21,E8_2,50.56,11.54,2,2,#NAME?,2.1,0,tripinfo_s3.0 fcd_s3.0,19,s3.0,0,172.11,0.83,0,2.54,Car,,0,0
22,E10_2,59.5,14.03,2,2,#NAME?,2.1,0,tripinfo_n3.0 fcd_n3.0,20,n3.0,0,217.66,1.01,0,3.62,Car,,0,0
22,E9_2,52.3,14.26,2,2,#NAME?,2.1,0,tripinfo_e3.0 fcd_e3.0,20,e3.0,0,194.23,1.03,0,5.57,Car,,0,0
23,E2_2,63.53,15.6,9,0.05,#NAME?,2.1,0,tripinfo_n1.1 fcd_n1.1,14,n1.1,0,198.73,1.12,0,1.08,Car,,0,0
26,E9_2,52.3,13.77,10,0,#NAME?,2.1,0,tripinfo_s1.2 fcd_s1.2,16,s1.2,0,198.26,0.99,0,0.91,Car,,0,0
31,E9_2,52.3,13.54,15,0,#NAME?,2.1,0,tripinfo_s1.3 fcd_s1.3,16,s1.3,0,198.26,0.97,0,0.89,Car,,0,0
34,E10_2,59.5,14.03,14,0.05,#NAME?,2.1,0,tripinfo_n3.1 fcd_n3.1,20,n3.1,0,217.66,1.01,0,3.62,Car,,0,0
37,E2_2,63.53,11.47,18,0.09,#NAME?,2.1,0,tripinfo_n1.2 fcd_n1.2,19,n1.2,0,198.73,0.83,0,0.69,Car,,0,0
38,E9_2,52.3,12.12,20,0,#NAME?,2.1,0,tripinfo_s1.4 fcd_s1.4,18,s1.4,0,198.26,0.87,0,0.76,Car,,0,0
41,E9_2,52.3,13.96,25,0,#NAME?,2.1,0,tripinfo_s1.5 fcd_s1.5,16,s1.5,0,198.26,1.01,0,0.93,Car,,0,0
41,E2_2,63.53,16.28,27,0.14,#NAME?,2.1,0,tripinfo_n1.3 fcd_n1.3,14,n1.3,0,198.73,1.17,0,1.16,Car,,0,0
45,E9_2,52.3,14.16,30,0,#NAME?,2.1,0,tripinfo_s1.6 fcd_s1.6,15,s1.6,0,198.26,1.02,0,0.94,Car,,0,0
48,E10_2,59.5,13.82,28,0.09,#NAME?,2.1,0,tripinfo_n3.2 fcd_n3.2,20,n3.2,0,217.66,0.99,0,3.51,Car,,0,0
50,E9_2,52.3,14.31,35,0,#NAME?,2.1,0,tripinfo_s1.7 fcd_s1.7,15,s1.7,0,198.26,1.03,0,0.95,Car,,0,0
55,E8_3,50.56,13.03,1,1,#NAME?,2.1,0,tripinfo_n2.0 fcd_n2.0,54,n2.0,0,210.23,0.94,0,36.68,Car,,1,33
56,E10_3,59.5,14.31,1,1,#NAME?,2.1,0,tripinfo_s2.0 fcd_s2.0,55,s2.0,0,206.78,1.03,0,39.15,Car,,1,34
56,E8_3,50.56,13.08,12,0.68,#NAME?,2.1,0,tripinfo_n2.1 fcd_n2.1,44,n2.1,0,210.23,0.94,0,27.17,Car,,1,22
56,E9_2,52.3,15.11,38,2,#NAME?,2.1,0,tripinfo_e3.1 fcd_e3.1,18,e3.1,0,194.23,1.09,0,3.92,Car,,0,0
57,E8_3,50.56,15.72,23,0.36,#NAME?,2.1,0,tripinfo_n2.2 fcd_n2.2,34,n2.2,0,210.23,1.13,0,19.97,Car,,1,13
58,E10_3,59.5,13,12,0.24,#NAME?,2.1,0,tripinfo_s2.1 fcd_s2.1,46,s2.1,0,206.78,0.94,0,28.98,Car,,1,23
59,E10_3,59.5,12.94,24,0.47,#NAME?,2.1,0,tripinfo_s2.2 fcd_s2.2,35,s2.2,0,206.78,0.93,0,18.3,Car,,1,13
59,E8_3,50.56,12.51,34,0.04,#NAME?,2.1,0,tripinfo_n2.3 fcd_n2.3,25,n2.3,0,210.23,0.9,0,7.5,Car,,1,3
61,E10_3,59.5,15.17,36,0.71,#NAME?,2.1,0,tripinfo_s2.3 fcd_s2.3,25,s2.3,0,206.78,1.09,0,9.9,Car,,1,2
63,E8_3,50.56,14.12,46,0.72,#NAME?,2.1,0,tripinfo_n2.4 fcd_n2.4,17,n2.4,0,210.23,1.02,0,1.57,Car,,0,0
64,E10_2,59.5,12.18,42,0.14,#NAME?,2.1,0,tripinfo_n3.3 fcd_n3.3,22,n3.3,0,217.66,0.88,0,2.8,Car,,0,0
65,E10_3,59.5,15.22,48,0.94,#NAME?,2.1,0,tripinfo_s2.4 fcd_s2.4,17,s2.4,0,206.78,1.1,0,2.3,Car,,0,0
68,E8_2,50.56,14.22,51,1,#NAME?,2.1,0,tripinfo_s3.1 fcd_s3.1,17,s3.1,0,172.11,1.02,0,3.64,Car,,0,0
76,E8_3,50.56,13.02,57,0.4,#NAME?,2.1,0,tripinfo_n2.5 fcd_n2.5,19,n2.5,0,210.23,0.94,0,1.34,Car,,0,0
79,E10_3,59.5,12.26,59,0.18,#NAME?,2.1,0,tripinfo_s2.5 fcd_s2.5,20,s2.5,0,206.78,0.88,0,1.79,Car,,0,0
87,E8_2,50.56,14.53,0,0,#NAME?,2.1,0,tripinfo_w1.0 fcd_w1.0,87,w1.0,0,230.99,1.05,0,70.62,Car,,1,66
87,E2_2,63.53,13.03,2,2,#NAME?,2.1,0,tripinfo_w3.0 fcd_w3.0,85,w3.0,0,190.93,0.94,0,69.37,Car,,1,64
88,E8_3,50.56,12.87,11,0.29,#NAME?,2.1,0,tripinfo_w1.1 fcd_w1.1,77,w1.1,0,230.99,0.93,0,58.54,Car,,1,53
88,E10_3,59.5,16.09,12,0,#NAME?,2.1,0,tripinfo_e1.1 fcd_e1.1,76,e1.1,0,230.72,1.16,0,60.81,Car,,1,55
89,E8_3,50.56,13.18,22,0.57,#NAME?,2.1,0,tripinfo_w1.2 fcd_w1.2,67,w1.2,0,230.99,0.95,0,49.29,Car,,1,42
90,E10_2,59.5,11.9,0,0,#NAME?,2.1,0,tripinfo_e1.0 fcd_e1.0,90,e1.0,0,230.72,0.86,0,70.54,Car,,1,67
90,E2_2,63.53,12.2,12,1.83,#NAME?,2.1,0,tripinfo_w3.1 fcd_w3.1,78,w3.1,0,190.93,0.88,0,60.81,Car,,1,55
90,E8_3,50.56,15.31,33,0.86,#NAME?,2.1,0,tripinfo_w1.3 fcd_w1.3,57,w1.3,0,230.99,1.1,0,41.91,Car,,1,34
90,E10_3,59.5,14.42,36,0,#NAME?,2.1,0,tripinfo_e1.3 fcd_e1.3,54,e1.3,0,230.72,1.04,0,37.33,Car,,1,31
91,E10_2,59.5,16.37,24,0,#NAME?,2.1,0,tripinfo_e1.2 fcd_e1.2,67,e1.2,0,230.72,1.18,0,52.85,Car,,1,44
92,E2_2,63.53,12.74,21,0.66,#NAME?,2.1,0,tripinfo_w3.2 fcd_w3.2,71,w3.2,0,190.93,0.92,0,54.2,Car,,1,48
92,E10_3,59.5,12.7,60,0,#NAME?,2.1,0,tripinfo_e1.5 fcd_e1.5,32,e1.5,0,230.72,0.91,0,13.78,Car,,1,9
92,E9_2,52.3,14.12,74,2,#NAME?,2.1,0,tripinfo_e3.2 fcd_e3.2,18,e3.2,0,194.23,1.02,0,3.52,Car,,0,0
93,E2_2,63.53,13.52,31,0.49,#NAME?,2.1,0,tripinfo_w3.3 fcd_w3.3,62,w3.3,0,190.93,0.97,0,46.91,Car,,1,39
93,E8_3,50.56,11.81,43,0.14,#NAME?,2.1,0,tripinfo_w1.4 fcd_w1.4,50,w1.4,0,230.99,0.85,0,29.83,Car,,1,25
93,E10_2,59.5,13.83,48,0,#NAME?,2.1,0,tripinfo_e1.4 fcd_e1.4,45,e1.4,0,230.72,1,0,27.77,Car,,1,21
94,E8_3,50.56,15.55,54,0.43,#NAME?,2.1,0,tripinfo_w1.5 fcd_w1.5,40,w1.5,0,230.99,1.12,0,24.73,Car,,1,15
94,E10_2,59.5,14.37,72,0,#NAME?,2.1,0,tripinfo_e1.6 fcd_e1.6,22,e1.6,0,230.72,1.03,0,5.7,Car,,0,0
95,E8_3,50.56,14.66,65,0.72,#NAME?,2.1,0,tripinfo_w1.6 fcd_w1.6,30,w1.6,0,230.99,1.06,0,14.18,Car,,1,6
96,E2_2,63.53,12.51,41,0.32,#NAME?,2.1,0,tripinfo_w3.4 fcd_w3.4,55,w3.4,0,190.93,0.9,0,38.06,Car,,1,30
97,E2_2,63.53,13.47,51,0.16,#NAME?,2.1,0,tripinfo_w3.5 fcd_w3.5,46,w3.5,0,190.93,0.97,0,30.96,Car,,1,22
97,E8_3,50.56,15.94,75,0,#NAME?,2.1,0,tripinfo_w1.7 fcd_w1.7,22,w1.7,0,230.99,1.15,0,6.7,Car,,0,0
99,E2_2,63.53,14.2,62,0.99,#NAME?,2.1,0,tripinfo_w3.6 fcd_w3.6,37,w3.6,0,190.93,1.02,0,22.82,Car,,1,12
101,E2_2,63.53,15.1,72,0.82,#NAME?,2.1,0,tripinfo_w3.7 fcd_w3.7,29,w3.7,0,190.93,1.09,0,15.48,Car,,1,4
103,E2_2,63.53,14.2,82,0.65,#NAME?,2.1,0,tripinfo_w3.8 fcd_w3.8,21,w3.8,0,190.93,1.02,0,7.08,Car,,0,0
105,E10_2,59.5,11.58,84,0,#NAME?,2.1,0,tripinfo_e1.7 fcd_e1.7,21,e1.7,0,230.72,0.83,0,0.71,Car,,0,0
107,E8_2,50.56,14.68,86,0.29,#NAME?,2.1,0,tripinfo_w1.8 fcd_w1.8,21,w1.8,0,230.99,1.06,0,4.52,Car,,0,0
110,E2_2,63.53,15.24,92,0.48,#NAME?,2.1,0,tripinfo_w3.9 fcd_w3.9,18,w3.9,0,190.93,1.1,0,4.55,Car,,0,0
114,E8_2,50.56,14.9,97,0.57,#NAME?,2.1,0,tripinfo_w1.9 fcd_w1.9,17,w1.9,0,230.99,1.07,0,1.49,Car,,0,0
115,E10_2,59.5,13.23,96,0,#NAME?,2.1,0,tripinfo_e1.8 fcd_e1.8,19,e1.8,0,230.72,0.95,0,0.87,Car,,0,0
118,E8_2,50.56,13.33,101,1,#NAME?,2.1,0,tripinfo_s3.2 fcd_s3.2,17,s3.2,0,172.11,0.96,0,3.3,Car,,0,0
122,E2_2,63.53,12.03,102,0.31,#NAME?,2.1,0,tripinfo_w3.10 fcd_w3.10,20,w3.10,0,190.93,0.87,0,2.73,Car,,0,0
124,E10_2,59.5,16.35,108,0,#NAME?,2.1,0,tripinfo_e1.9 fcd_e1.9,16,e1.9,0,230.72,1.18,0,1.17,Car,,0,0
127,E8_2,50.56,12.81,108,0.86,#NAME?,2.1,0,tripinfo_w1.10 fcd_w1.10,19,w1.10,0,230.99,0.92,0,0.83,Car,,0,0
128,E9_2,52.3,13.77,110,2,#NAME?,2.1,0,tripinfo_e3.3 fcd_e3.3,18,e3.3,0,194.23,0.99,0,3.37,Car,,0,0
129,E2_4,63.53,15.15,1,1,#NAME?,2.1,0,tripinfo_e2.0 fcd_e2.0,128,e2.0,0,186.34,1.09,0,114.31,Car,,1,110
130,E2_4,63.53,14.14,13,1,#NAME?,2.1,0,tripinfo_e2.1 fcd_e2.1,117,e2.1,0,186.34,1.02,0,103.22,Car,,1,98
130,E2_2,63.53,14.33,112,0.14,#NAME?,2.1,0,tripinfo_w3.11 fcd_w3.11,18,w3.11,0,190.93,1.03,0,4.07,Car,,0,0
132,E9_3,52.3,12.31,1,1,#NAME?,2.1,0,tripinfo_w2.0 fcd_w2.0,131,w2.0,0,235.55,0.89,0,111.05,Car,,1,107
132,E9_4,52.3,12.36,16,0.21,#NAME?,2.1,0,tripinfo_w2.1 fcd_w2.1,116,w2.1,0,231.23,0.89,0,96.05,Car,,1,92
132,E2_4,63.53,16.03,25,1,#NAME?,2.1,0,tripinfo_e2.2 fcd_e2.2,107,e2.2,0,186.34,1.15,0,93.89,Car,,1,87
133,E9_3,52.3,16.39,32,0.42,#NAME?,2.1,0,tripinfo_w2.2 fcd_w2.2,101,w2.2,0,235.55,1.18,0,85.99,Car,,1,77
133,E2_4,63.53,14.49,37,1,#NAME?,2.1,0,tripinfo_e2.3 fcd_e2.3,96,e2.3,0,186.34,1.04,0,82.08,Car,,1,76
133,E9_4,52.3,13.93,48,0.63,#NAME?,2.1,0,tripinfo_w2.3 fcd_w2.3,85,w2.3,0,231.23,1,0,67.61,Car,,1,60
134,E9_4,52.3,13.56,79,0.06,#NAME?,2.1,0,tripinfo_w2.5 fcd_w2.5,55,w2.5,0,231.23,0.98,0,37.34,Car,,1,31
135,E9_3,52.3,13.51,64,0.84,#NAME?,2.1,0,tripinfo_w2.4 fcd_w2.4,71,w2.4,0,235.55,0.97,0,52.36,Car,,1,47
136,E2_4,63.53,12.49,49,1,#NAME?,2.1,0,tripinfo_e2.4 fcd_e2.4,87,e2.4,0,186.34,0.9,0,70.57,Car,,1,66
136,E9_3,52.3,13.45,95,0.27,#NAME?,2.1,0,tripinfo_w2.6 fcd_w2.6,41,w2.6,0,235.55,0.97,0,22.62,Car,,1,17
136,E9_4,52.3,13.08,111,0.48,#NAME?,2.1,0,tripinfo_w2.7 fcd_w2.7,25,w2.7,0,231.23,0.94,0,6.09,Car,,0,0
137,E2_4,63.53,14.45,61,1,#NAME?,2.1,0,tripinfo_e2.5 fcd_e2.5,76,e2.5,0,186.34,1.04,0,61.98,Car,,1,55
138,E2_4,63.53,13.86,73,1,#NAME?,2.1,0,tripinfo_e2.6 fcd_e2.6,65,e2.6,0,186.34,1,0,50.81,Car,,1,44
140,E2_4,63.53,12.8,85,1,#NAME?,2.1,0,tripinfo_e2.7 fcd_e2.7,55,e2.7,0,186.34,0.92,0,39.1,Car,,1,34
141,E2_4,63.53,12.42,97,1,#NAME?,2.1,0,tripinfo_e2.8 fcd_e2.8,44,e2.8,0,186.34,0.89,0,28.37,Car,,1,23
143,E2_4,63.53,13.95,109,1,#NAME?,2.1,0,tripinfo_e2.9 fcd_e2.9,34,e2.9,0,186.34,1,0,19.3,Car,,1,12
144,E2_4,63.53,14.34,121,1,#NAME?,2.1,0,tripinfo_e2.10 fcd_e2.10,23,e2.10,0,186.34,1.03,0,9.15,Car,,1,2
144,E9_3,52.3,15.55,127,0.69,#NAME?,2.1,0,tripinfo_w2.8 fcd_w2.8,17,w2.8,0,235.55,1.12,0,1.22,Car,,0,0
147,E2_4,63.53,16.17,133,1,#NAME?,2.1,0,tripinfo_e2.11 fcd_e2.11,14,e2.11,0,186.34,1.16,0,1.52,Car,,0,0
158,E2_2,63.53,13.29,36,0.18,#NAME?,2.1,0,tripinfo_n1.4 fcd_n1.4,122,n1.4,0,198.73,0.96,0,106.92,Car,,1,103
158,E2_3,63.53,14.21,63,0.32,#NAME?,2.1,0,tripinfo_n1.7 fcd_n1.7,95,n1.7,0,198.73,1.02,0,80.44,Car,,1,73
159,E9_3,52.3,16.24,45,0,#NAME?,2.1,0,tripinfo_s1.9 fcd_s1.9,114,s1.9,0,198.26,1.17,0,100.97,Car,,1,95
159,E2_3,63.53,13.99,81,0.41,#NAME?,2.1,0,tripinfo_n1.9 fcd_n1.9,78,n1.9,0,198.73,1.01,0,63.64,Car,,1,56
160,E9_2,52.3,13.85,40,0,#NAME?,2.1,0,tripinfo_s1.8 fcd_s1.8,120,s1.8,0,198.26,1,0,105.02,Car,,1,101
160,E2_2,63.53,13.99,72,0.36,#NAME?,2.1,0,tripinfo_n1.8 fcd_n1.8,88,n1.8,0,198.73,1.01,0,72.95,Car,,1,66
161,E9_2,52.3,15.87,50,0,#NAME?,2.1,0,tripinfo_s1.10 fcd_s1.10,111,s1.10,0,198.26,1.14,0,98.08,Car,,1,91
161,E9_3,52.3,14.11,55,0,#NAME?,2.1,0,tripinfo_s1.11 fcd_s1.11,106,s1.11,0,198.26,1.02,0,91.44,Car,,1,86
161,E2_2,63.53,14.03,90,0.45,#NAME?,2.1,0,tripinfo_n1.10 fcd_n1.10,71,n1.10,0,198.73,1.01,0,56.3,Car,,1,49
161,E2_3,63.53,14.37,99,0.5,#NAME?,2.1,0,tripinfo_n1.11 fcd_n1.11,62,n1.11,0,198.73,1.03,0,47.31,Car,,1,39
162,E2_2,63.53,15.23,108,0.54,#NAME?,2.1,0,tripinfo_n1.12 fcd_n1.12,54,n1.12,0,198.73,1.1,0,40.68,Car,,1,33
162,E2_3,63.53,16.01,117,0.59,#NAME?,2.1,0,tripinfo_n1.13 fcd_n1.13,45,n1.13,0,198.73,1.15,0,32,Car,,1,23
163,E9_2,52.3,12.6,60,0,#NAME?,2.1,0,tripinfo_s1.12 fcd_s1.12,103,s1.12,0,198.26,0.91,0,87.13,Car,,1,82
163,E9_3,52.3,13.06,65,0,#NAME?,2.1,0,tripinfo_s1.13 fcd_s1.13,98,s1.13,0,198.26,0.94,0,82.34,Car,,1,77
163,E2_2,63.53,17.03,126,0.63,#NAME?,2.1,0,tripinfo_n1.14 fcd_n1.14,37,n1.14,0,198.73,1.23,0,25.25,Car,,1,16
163,E2_3,63.53,15.68,135,0.68,#NAME?,2.1,0,tripinfo_n1.15 fcd_n1.15,28,n1.15,0,198.73,1.13,0,15.03,Car,,1,6
164,E9_3,52.3,13.43,75,0,#NAME?,2.1,0,tripinfo_s1.15 fcd_s1.15,89,s1.15,0,198.26,0.97,0,74.08,Car,,1,68
165,E9_2,52.3,14.34,70,0,#NAME?,2.1,0,tripinfo_s1.14 fcd_s1.14,95,s1.14,0,198.26,1.03,0,80.26,Car,,1,74
165,E2_2,63.53,14.88,144,0.72,#NAME?,2.1,0,tripinfo_n1.16 fcd_n1.16,21,n1.16,0,198.73,1.07,0,7,Car,,0,0
166,E9_2,52.3,14.48,80,0,#NAME?,2.1,0,tripinfo_s1.16 fcd_s1.16,86,s1.16,0,198.26,1.04,0,71.7,Car,,1,65
166,E9_3,52.3,15.15,85,0,#NAME?,2.1,0,tripinfo_s1.17 fcd_s1.17,81,s1.17,0,198.26,1.09,0,66.96,Car,,1,60
167,E9_2,52.3,12.59,90,0,#NAME?,2.1,0,tripinfo_s1.18 fcd_s1.18,77,s1.18,0,198.26,0.91,0,61.2,Car,,1,57
167,E9_3,52.3,14.79,95,0,#NAME?,2.1,0,tripinfo_s1.19 fcd_s1.19,72,s1.19,0,198.26,1.06,0,57.97,Car,,1,51
167,E8_2,50.56,15.86,151,1,#NAME?,2.1,0,tripinfo_s3.3 fcd_s3.3,16,s3.3,0,172.11,1.14,0,4.23,Car,,0,0
168,E9_3,52.3,15.26,105,0,#NAME?,2.1,0,tripinfo_s1.21 fcd_s1.21,63,s1.21,0,198.26,1.1,0,49.67,Car,,1,43
168,E2_2,63.53,14.97,153,0.77,#NAME?,2.1,0,tripinfo_n1.17 fcd_n1.17,15,n1.17,0,198.73,1.08,0,1.03,Car,,0,0
169,E9_2,52.3,14.79,100,0,#NAME?,2.1,0,tripinfo_s1.20 fcd_s1.20,69,s1.20,0,198.26,1.06,0,54.71,Car,,1,48
169,E9_3,52.3,14.74,115,0,#NAME?,2.1,0,tripinfo_s1.23 fcd_s1.23,54,s1.23,0,198.26,1.06,0,40.54,Car,,1,34
170,E2_2,63.53,15.04,54,0.27,#NAME?,2.1,0,tripinfo_n1.6 fcd_n1.6,116,n1.6,0,198.73,1.08,0,102.1,Car,,2,95
170,E9_2,52.3,14.87,110,0,#NAME?,2.1,0,tripinfo_s1.22 fcd_s1.22,60,s1.22,0,198.26,1.07,0,46.09,Car,,1,39
171,E9_2,52.3,15.53,120,0,#NAME?,2.1,0,tripinfo_s1.24 fcd_s1.24,51,s1.24,0,198.26,1.12,0,37.99,Car,,1,31
171,E9_3,52.3,14.41,125,0,#NAME?,2.1,0,tripinfo_s1.25 fcd_s1.25,46,s1.25,0,198.26,1.04,0,31.59,Car,,1,26
173,E9_2,52.3,12.7,155,0,#NAME?,2.1,0,tripinfo_s1.31 fcd_s1.31,18,s1.31,0,198.26,0.91,0,1.78,Car,,0,0
174,E9_2,52.3,13.94,130,0,#NAME?,2.1,0,tripinfo_s1.26 fcd_s1.26,44,s1.26,0,198.26,1,0,29.43,Car,,1,22
175,E2_2,63.53,11.87,45,0.23,#NAME?,2.1,0,tripinfo_n1.5 fcd_n1.5,130,n1.5,0,198.73,0.85,0,112.88,Car,,2,108
175,E9_2,52.3,13.92,140,0,#NAME?,2.1,0,tripinfo_s1.28 fcd_s1.28,35,s1.28,0,198.26,1,0,20.73,Car,,1,14
176,E9_3,52.3,10.19,135,0,#NAME?,2.1,0,tripinfo_s1.27 fcd_s1.27,41,s1.27,0,198.26,0.73,0,20.84,Car,,1,17
177,E10_2,59.5,13.71,56,0.19,#NAME?,2.1,0,tripinfo_n3.4 fcd_n3.4,121,n3.4,0,217.66,0.99,0,104.67,Car,,3,97
177,E9_3,52.3,15.19,145,0,#NAME?,2.1,0,tripinfo_s1.29 fcd_s1.29,32,s1.29,0,198.26,1.18,0,19.43,Car,,1,8
177,E9_2,52.3,15.1,160,0,#NAME?,2.1,0,tripinfo_s1.32 fcd_s1.32,17,s1.32,0,198.26,1.09,0,3.2,Car,,0,0
178,E9_2,52.3,15.61,146,2,#NAME?,2.1,0,tripinfo_e3.4 fcd_e3.4,32,e3.4,0,194.23,1.12,0,18.86,Car,,1,12
178,E9_3,52.3,12.64,150,0,#NAME?,2.1,0,tripinfo_s1.30 fcd_s1.30,28,s1.30,0,198.26,0.91,0,12.26,Car,,1,5
179,E10_2,59.5,13.68,70,0.24,#NAME?,2.1,0,tripinfo_n3.5 fcd_n3.5,109,n3.5,0,217.66,0.98,0,92.67,Car,,3,84
179,E2_2,63.53,12.4,162,0.81,#NAME?,2.1,0,tripinfo_n1.18 fcd_n1.18,17,n1.18,0,198.73,0.89,0,0.79,Car,,0,0
181,E9_2,52.3,13.28,165,0,#NAME?,2.1,0,tripinfo_s1.33 fcd_s1.33,16,s1.33,0,198.26,0.96,0,1,Car,,0,0
183,E10_2,59.5,12.39,84,0.28,#NAME?,2.1,0,tripinfo_n3.6 fcd_n3.6,99,n3.6,0,217.66,0.89,0,79.95,Car,,3,71
184,E10_2,59.5,14.08,98,0.33,#NAME?,2.1,0,tripinfo_n3.7 fcd_n3.7,86,n3.7,0,217.66,1.01,0,69.52,Car,,3,59
185,E9_2,52.3,15.28,170,0,#NAME?,2.1,0,tripinfo_s1.34 fcd_s1.34,15,s1.34,0,198.26,1.1,0,1.04,Car,,0,0
186,E10_2,59.5,15.32,112,0.38,#NAME?,2.1,0,tripinfo_n3.8 fcd_n3.8,74,n3.8,0,217.66,1.1,0,58.44,Car,,3,46
186,E2_2,63.53,14.25,171,0.86,#NAME?,2.1,0,tripinfo_n1.19 fcd_n1.19,15,n1.19,0,198.73,1.03,0,0.95,Car,,0,0
187,E10_2,59.5,14.05,127,1.42,#NAME?,2.1,0,tripinfo_n3.9 fcd_n3.9,60,n3.9,0,217.66,1.01,0,43.93,Car,,3,32
191,E10_2,59.5,12.32,140,0.47,#NAME?,2.1,0,tripinfo_n3.10 fcd_n3.10,51,n3.10,0,217.66,0.89,0,31.93,Car,,3,21
192,E10_2,59.5,14.61,154,0.52,#NAME?,2.1,0,tripinfo_n3.11 fcd_n3.11,38,n3.11,0,217.66,1.05,0,22.14,Car,,2,9
192,E9_2,52.3,12.72,175,0,#NAME?,2.1,0,tripinfo_s1.35 fcd_s1.35,17,s1.35,0,198.26,0.92,0,0.82,Car,,0,0
194,E10_2,59.5,15.14,168,0.56,#NAME?,2.1,0,tripinfo_n3.12 fcd_n3.12,26,n3.12,0,217.66,1.09,0,10.33,Car,,0,0
196,E9_2,52.3,13.49,180,0,#NAME?,2.1,0,tripinfo_s1.36 fcd_s1.36,16,s1.36,0,198.26,0.97,0,0.89,Car,,0,0
197,E2_2,63.53,12.38,180,0.9,#NAME?,2.1,0,tripinfo_n1.20 fcd_n1.20,17,n1.20,0,198.73,0.89,0,0.79,Car,,0,0
200,E9_2,52.3,14.31,185,0,#NAME?,2.1,0,tripinfo_s1.37 fcd_s1.37,15,s1.37,0,198.26,1.03,0,0.95,Car,,0,0
202,E10_2,59.5,14.83,183,1.61,#NAME?,2.1,0,tripinfo_n3.13 fcd_n3.13,19,n3.13,0,217.66,1.07,0,3.36,Car,,0,0
203,E9_2,52.3,12.89,182,2,#NAME?,2.1,0,tripinfo_e3.5 fcd_e3.5,21,e3.5,0,194.23,0.93,0,4.69,Car,,0,0
205,E8_3,50.56,13.27,68,0.07,#NAME?,2.1,0,tripinfo_n2.6 fcd_n2.6,137,n2.6,0,210.23,0.96,0,119.83,Car,,1,116
206,E10_3,59.5,13.64,71,0.41,#NAME?,2.1,0,tripinfo_s2.6 fcd_s2.6,135,s2.6,0,206.78,0.98,0,118.85,Car,,1,114
206,E8_3,50.56,13.91,80,0.75,#NAME?,2.1,0,tripinfo_n2.7 fcd_n2.7,126,n2.7,0,210.23,1,0,109.99,Car,,1,104
207,E10_3,59.5,14.12,83,0.65,#NAME?,2.1,0,tripinfo_s2.7 fcd_s2.7,124,s2.7,0,206.78,1.02,0,108.77,Car,,1,102
207,E8_3,50.56,15.58,91,0.43,#NAME?,2.1,0,tripinfo_n2.8 fcd_n2.8,116,n2.8,0,210.23,1.12,0,101.74,Car,,1,94
209,E10_3,59.5,13.29,96,1.88,#NAME?,2.1,0,tripinfo_s2.8 fcd_s2.8,113,s2.8,0,206.78,0.96,0,96.45,Car,,1,91
209,E8_3,50.56,12.89,102,0.11,#NAME?,2.1,0,tripinfo_n2.9 fcd_n2.9,107,n2.9,0,210.23,0.93,0,89.72,Car,,1,85
210,E8_3,50.56,14.22,114,0.79,#NAME?,2.1,0,tripinfo_n2.10 fcd_n2.10,96,n2.10,0,210.23,1.02,0,80.6,Car,,1,74
211,E10_3,59.5,14.02,106,0.12,#NAME?,2.1,0,tripinfo_s2.9 fcd_s2.9,105,s2.9,0,206.78,1.01,0,88.88,Car,,1,82
212,E10_3,59.5,14.34,118,0.35,#NAME?,2.1,0,tripinfo_s2.10 fcd_s2.10,94,s2.10,0,206.78,1.03,0,78.85,Car,,1,71
212,E8_3,50.56,13.33,125,0.47,#NAME?,2.1,0,tripinfo_n2.11 fcd_n2.11,87,n2.11,0,210.23,0.96,0,70,Car,,1,65
213,E8_3,50.56,15.4,193,0.54,#NAME?,2.1,0,tripinfo_n2.17 fcd_n2.17,20,n2.17,0,210.23,1.11,0,5.41,Car,,0,0
214,E10_3,59.5,13.24,131,1.59,#NAME?,2.1,0,tripinfo_s2.11 fcd_s2.11,83,s2.11,0,206.78,0.95,0,66.73,Car,,1,59
214,E8_3,50.56,15.85,136,0.15,#NAME?,2.1,0,tripinfo_n2.12 fcd_n2.12,78,n2.12,0,210.23,1.14,0,64.07,Car,,1,55
216,E10_3,59.5,14.44,142,0.82,#NAME?,2.1,0,tripinfo_s2.12 fcd_s2.12,74,s2.12,0,206.78,1.04,0,58.41,Car,,1,49
216,E8_3,50.56,14.98,148,0.83,#NAME?,2.1,0,tripinfo_n2.13 fcd_n2.13,68,n2.13,0,210.23,1.08,0,52.64,Car,,1,44
217,E8_3,50.56,13.06,159,0.51,#NAME?,2.1,0,tripinfo_n2.14 fcd_n2.14,58,n2.14,0,210.23,0.94,0,41.27,Car,,1,35
