tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
594,E2_4,63.53,14.93,565,1,#NAME?,2.1,0,tripinfo_e2.47 fcd_e2.47,29,e2.47,0,186.34,1.07,0,15.71,Car,,1,8
595,E2_4,63.53,13.48,577,1,#NAME?,2.1,0,tripinfo_e2.48 fcd_e2.48,18,e2.48,0,186.34,0.97,0,3.66,Car,,0,0
597,E9_2,52.3,12.87,578,2,#NAME?,2.1,0,tripinfo_e3.16 fcd_e3.16,19,e3.16,0,194.23,0.93,0,2.96,Car,,0,0
605,E9_3,52.3,12.77,585,0.81,#NAME?,2.1,0,tripinfo_w2.37 fcd_w2.37,20,w2.37,0,235.55,0.92,0,0.96,Car,,0,0
606,E2_4,63.53,12.89,589,1,#NAME?,2.1,0,tripinfo_e2.49 fcd_e2.49,17,e2.49,0,186.34,0.93,0,1.14,Car,,0,0
608,E2_2,63.53,14.62,502,0.52,#NAME?,2.1,0,tripinfo_n1.56 fcd_n1.56,106,n1.56,0,198.73,1.05,0,91.66,Car,,1,85
608,E2_3,63.53,14.12,511,0.57,#NAME?,2.1,0,tripinfo_n1.57 fcd_n1.57,97,n1.57,0,198.73,1.02,0,82.4,Car,,1,76
609,E9_3,52.3,14.91,495,0,#NAME?,2.1,0,tripinfo_s1.99 fcd_s1.99,114,s1.99,0,198.26,1.07,0,100.44,Car,,1,95
609,E2_2,63.53,15.28,520,0.61,#NAME?,2.1,0,tripinfo_n1.58 fcd_n1.58,89,n1.58,0,198.73,1.1,0,75.52,Car,,1,68
609,E2_3,63.53,13.88,529,0.66,#NAME?,2.1,0,tripinfo_n1.59 fcd_n1.59,80,n1.59,0,198.73,1,0,65.59,Car,,1,59
611,E9_3,52.3,14.17,505,0,#NAME?,2.1,0,tripinfo_s1.101 fcd_s1.101,106,s1.101,0,198.26,1.02,0,91.47,Car,,1,86
611,E2_2,63.53,13.94,538,0.7,#NAME?,2.1,0,tripinfo_n1.60 fcd_n1.60,73,n1.60,0,198.73,1,0,57.94,Car,,1,52
611,E2_3,63.53,12.9,547,0.75,#NAME?,2.1,0,tripinfo_n1.61 fcd_n1.61,64,n1.61,0,198.73,0.93,0,48.37,Car,,1,42
612,E2_2,63.53,13.41,556,0.79,#NAME?,2.1,0,tripinfo_n1.62 fcd_n1.62,56,n1.62,0,198.73,0.97,0,41,Car,,1,35
612,E2_3,63.53,15.54,565,0.84,#NAME?,2.1,0,tripinfo_n1.63 fcd_n1.63,47,n1.63,0,198.73,1.12,0,34.15,Car,,1,25
613,E9_3,52.3,13.43,515,0,#NAME?,2.1,0,tripinfo_s1.103 fcd_s1.103,98,s1.103,0,198.26,0.97,0,82.5,Car,,1,77
614,E9_2,52.3,9.59,490,0,#NAME?,2.1,0,tripinfo_s1.98 fcd_s1.98,124,s1.98,0,198.26,0.69,0,102.4,Car,,1,100
614,E2_2,63.53,14.76,574,0.88,#NAME?,2.1,0,tripinfo_n1.64 fcd_n1.64,40,n1.64,0,198.73,1.06,0,25.58,Car,,1,18
614,E2_3,63.53,13.88,583,0.93,#NAME?,2.1,0,tripinfo_n1.65 fcd_n1.65,31,n1.65,0,198.73,1,0,16.06,Car,,1,8
615,E9_2,52.3,12.74,500,0,#NAME?,2.1,0,tripinfo_s1.100 fcd_s1.100,115,s1.100,0,198.26,0.92,0,98.85,Car,,1,91
615,E9_3,52.3,12.53,525,0,#NAME?,2.1,0,tripinfo_s1.105 fcd_s1.105,90,s1.105,0,198.26,0.9,0,73.46,Car,,1,68
615,E2_2,63.53,15.81,592,0.97,#NAME?,2.1,0,tripinfo_n1.66 fcd_n1.66,23,n1.66,0,198.73,1.14,0,9.76,Car,,1,1
616,E9_2,52.3,14.59,510,0,#NAME?,2.1,0,tripinfo_s1.102 fcd_s1.102,106,s1.102,0,198.26,1.21,0,93.91,Car,,1,82
